#Centroids	beta_prevalence	mean_abundance	alpha_prevalence_Y	alpha_prevalence_X	ppanini_score_X	ppanini_score_Y
SRS011132.52	0.416666666667	2611.1634433	0.5	0.333333333333	16.5209336477	13.845248365
SRS011132.51	0.416666666667	3310.80532284	0.5	0.333333333333	17.0954199858	14.2464595613
SRS011132.50	0.416666666667	3531.5256777	0.5	0.333333333333	17.2531934656	14.3558604666
SRS011132.57	0.416666666667	3898.35668999	0.5	0.333333333333	17.5072109432	14.5312932026
SRS011132.56	0.416666666667	3898.35668999	0.5	0.333333333333	17.5072109432	14.5312932026
SRS011132.58	0.416666666667	2815.47983166	0.5	0.333333333333	16.6584950769	13.9417297968
SRS015996.10936	0.416666666667	5680.98314213	0.5	0.333333333333	17.7486202525	14.6972182153
UniRef90_D5VAF4	0.166666666667	8356.72328368	0.0	0.333333333333	17.9852601855	0.9792048384
SRS011132.159	0.416666666667	3520.00212503	0.5	0.333333333333	17.2428771949	14.3487173817
SRS011132.158	0.416666666667	2232.12358863	0.5	0.333333333333	16.2918269548	13.6839809544
SRS011132.157	0.416666666667	3750.45155812	0.5	0.333333333333	17.3509923402	14.4235061548
SRS011132.155	0.416666666667	3937.97413603	0.5	0.333333333333	17.525076957	14.5435994868
SRS011132.154	0.416666666667	3012.60761894	0.5	0.333333333333	16.8320523246	14.0630874744
SRS011132.153	0.416666666667	3200.89559512	0.5	0.333333333333	16.9966452715	14.1777972359
SRS011132.254	0.666666666667	201660.503037	1.0	0.333333333333	18.3336601147	18.7249111798
SRS011132.256	0.416666666667	3264.62383321	0.5	0.333333333333	17.0512779408	14.2157909777
SRS011132.251	0.416666666667	3171.47559884	0.5	0.333333333333	16.9679820558	14.1578474842
SRS011132.258	0.416666666667	2787.34466253	0.5	0.333333333333	16.6479391577	13.9343354003
SRS015996.16157	0.416666666667	1883.39798023	0.5	0.333333333333	16.082287503	13.5358498765
SRS015996.18355	0.666666666667	37562.6287484	1.0	0.333333333333	18.3188267922	18.7094382654
SRS015996.18923	0.416666666667	2285.76027601	0.5	0.333333333333	16.3212433303	13.7047276533
SRS015996.12927	0.416666666667	1981.7428994	0.5	0.333333333333	16.109245028	13.5549413821
SRS015996.11758	0.5	6587.6549907	1.0	0.0	13.6518150011	18.1834689851
SRS015996.6455	0.416666666667	2742.10819391	0.5	0.333333333333	16.6162457177	13.9121250338
SRS015996.20360	0.416666666667	3470.63730395	0.5	0.333333333333	17.1989868976	14.3183112758
SRS019597.1281	0.416666666667	2312.03338263	0.5	0.333333333333	16.3292602539	13.7103797279
SRS019597.1289	0.416666666667	2877.63811572	0.5	0.333333333333	16.7138435597	13.9804762766
SRS015996.19770	0.416666666667	4070.34301455	0.5	0.333333333333	17.5556754451	14.5646661101
SRS019597.1278	0.166666666667	17483.7691143	0.0	0.333333333333	18.1998452764	0.979833824578
SRS011132.201	0.416666666667	3561.55013773	0.5	0.333333333333	17.2660829946	14.3647832846
SRS019597.25	0.416666666667	7935.40967561	0.5	0.333333333333	17.9451362355	14.8317153541
SRS015996.1818	0.416666666667	2948.19331129	0.5	0.333333333333	16.7585634093	14.0117515856
SRS019597.1690	0.416666666667	2837.49551505	0.5	0.333333333333	16.6848661731	13.960196011
SRS016033.86	0.166666666667	28865.8624864	0.0	0.333333333333	18.2693192891	0.980034468543
UniRef90_D5V861	0.166666666667	7264.03687388	0.0	0.333333333333	17.8974065941	0.978943210691
SRS015996.9978	0.416666666667	3243.55458972	0.5	0.333333333333	17.035680379	14.2049479398
SRS019597.1453	0.416666666667	2707.7467885	0.5	0.333333333333	16.5898050514	13.8935851927
SRS015996.3714	0.25	14750.0820231	0.5	0.0	13.8539587147	14.9782269627
SRS015996.3713	0.5	7433.32384736	1.0	0.0	13.7079361566	18.283168337
SRS016033.15	0.666666666667	31736.5883711	1.0	0.333333333333	18.2841817422	18.6733014512
SRS019597.1864	0.416666666667	2095.28025301	0.5	0.333333333333	16.1523197204	13.5854261579
SRS016033.13	0.5	5470.90700282	1.0	0.0	13.6102365824	18.1097801286
UniRef90_D5VAE6	0.166666666667	8356.72328368	0.0	0.333333333333	17.9852601855	0.9792048384
SRS015996.19255	0.416666666667	3970.25261256	0.5	0.333333333333	17.5327300073	14.5488696765
SRS015996.5304	0.416666666667	1952.88256591	0.5	0.333333333333	16.09846533	13.5473083412
UniRef90_F1WFV3	0.166666666667	7447.39291	0.0	0.333333333333	17.9200265447	0.979010804649
SRS011132.96	0.416666666667	3102.95207387	0.5	0.333333333333	16.936676864	14.1360461458
SRS011132.94	0.416666666667	4363.70106966	0.5	0.333333333333	17.6523299717	14.6311292719
SRS011132.93	0.416666666667	3757.23970574	0.5	0.333333333333	17.3586974871	14.4288301964
SRS011132.92	0.416666666667	3757.23970574	0.5	0.333333333333	17.3586974871	14.4288301964
SRS011132.91	0.416666666667	3984.00240515	0.5	0.333333333333	17.5403807714	14.5541375092
SRS011132.90	0.416666666667	3791.55239712	0.5	0.333333333333	17.3843646356	14.4465597265
SRS015996.20027	0.416666666667	2756.80602579	0.5	0.333333333333	16.6320972555	13.9232353166
SRS011132.99	0.416666666667	3516.67901706	0.5	0.333333333333	17.2325567906	14.3415699989
SRS015996.15651	0.833333333333	13459.7964283	1.0	0.666666666667	18.5204460916	18.5178986382
SRS015996.3936	0.5	7435.57440066	1.0	0.0	13.7108801734	18.2884059111
SRS015996.17782	0.416666666667	3844.21284708	0.5	0.333333333333	17.4407422212	14.4854713864
SRS015996.16585	0.416666666667	4175.61050631	0.5	0.333333333333	17.5709609863	14.575185302
SRS019597.159	0.166666666667	17935.1916141	0.0	0.333333333333	18.2048140464	0.979848222712
SRS015996.10976	0.416666666667	1536.16234183	0.5	0.333333333333	16.0336943225	13.5014102394
SRS015996.4639	0.5	7962.33283709	1.0	0.0	13.7314611726	18.3250416697
SRS011132.218	0.416666666667	3203.5107059	0.5	0.333333333333	17.0044570062	14.1832323102
SRS011132.219	0.416666666667	4772.12629292	0.5	0.333333333333	17.6979864357	14.6624810148
SRS011132.191	0.416666666667	3628.2458332	0.5	0.333333333333	17.3150044198	14.3986289369
SRS011132.190	0.416666666667	4509.00153492	0.5	0.333333333333	17.6777047498	14.6485572514
SRS011132.197	0.416666666667	3574.69238916	0.5	0.333333333333	17.2738136156	14.3701337581
SRS011132.196	0.416666666667	3064.02204785	0.5	0.333333333333	16.9105602777	14.1178480199
SRS011132.195	0.416666666667	4115.73717457	0.5	0.333333333333	17.5658668201	14.5716799494
SRS011132.194	1.0	13798.3697937	1.0	1.0	18.5459563912	18.5230926447
SRS015996.8904	0.583333333333	6102.2672492	0.5	0.666666666667	18.1332957929	14.7076193111
SRS011132.212	0.416666666667	3119.14779051	0.5	0.333333333333	16.9471161324	14.1433176676
SRS011132.198	0.416666666667	3915.13928337	0.5	0.333333333333	17.5199736529	14.5400847168
SRS011132.215	0.416666666667	4238.14278547	0.5	0.333333333333	17.6065917796	14.5996935636
SRS011132.216	0.416666666667	3214.67276411	0.5	0.333333333333	17.0174713253	14.1922852828
SRS011132.217	0.416666666667	3214.67276411	0.5	0.333333333333	17.0174713253	14.1922852828
SRS015996.1200	0.416666666667	2103.49703831	0.5	0.333333333333	16.1603883791	13.5911336274
SRS015996.19729	0.416666666667	3088.23793573	0.5	0.333333333333	16.9262333876	14.1287702097
SRS015996.17971	0.416666666667	3715.21241597	0.5	0.333333333333	17.3304339827	14.4092969984
SRS015996.9478	0.416666666667	2932.02674777	0.5	0.333333333333	16.7480480077	14.0043999865
SRS011132.27	0.416666666667	3863.14985618	0.5	0.333333333333	17.4535380552	14.4942971023
SRS015996.10500	0.416666666667	2383.96331009	0.5	0.333333333333	16.3773103601	13.744237267
SRS015996.15652	0.5	7167.29238096	1.0	0.0	13.6932015141	18.2569658452
SRS011132.286	0.416666666667	3278.88742839	0.5	0.333333333333	17.0668660975	14.226624182
SRS015996.19988	0.416666666667	3580.91059728	0.5	0.333333333333	17.2892678955	14.3808274737
SRS011132.284	0.416666666667	2868.81555752	0.5	0.333333333333	16.7006760196	13.9712621987
SRS011132.282	0.416666666667	3003.29128678	0.5	0.333333333333	16.8163221929	14.0521053504
SRS011132.281	0.416666666667	2440.77006164	0.5	0.333333333333	16.3986377018	13.7592549156
SRS011132.280	0.5	9400.35280357	0.0	1.0	18.478192501	0.979470503567
SRS015996.8999	0.416666666667	2948.98519776	0.5	0.333333333333	16.7664471704	14.0172623425
UniRef90_D5V8X7	0.166666666667	8962.40313529	0.0	0.333333333333	18.0403272554	0.979367599312
SRS015996.2058	0.416666666667	1823.50750053	0.5	0.333333333333	16.0607015974	13.5205552809
SRS011132.104	0.416666666667	2870.34559248	0.5	0.333333333333	16.7059438352	13.9749486743
SRS011132.105	0.416666666667	2665.32090731	0.5	0.333333333333	16.5527430333	13.8675816292
SRS011132.100	0.416666666667	4920.59244427	0.5	0.333333333333	17.7081212398	14.6694366999
SRS011132.265	0.416666666667	2924.70372227	0.5	0.333333333333	16.737528352	13.9970439
SRS011132.264	0.416666666667	3866.43373059	0.5	0.333333333333	17.4586546021	14.4978255424
SRS011132.261	0.416666666667	3002.5804486	0.5	0.333333333333	16.8110766974	14.0484424126
SRS011132.260	0.583333333333	4317.49432554	0.5	0.666666666667	18.001291849	14.6206600486
UniRef90_Q4FQ37	0.166666666667	8356.72328368	0.0	0.333333333333	17.9852601855	0.9792048384
SRS015996.12370	0.416666666667	3263.44534982	0.5	0.333333333333	17.046079799	14.212177725
SRS015996.18400	0.5	6561.67579387	1.0	0.0	13.6458870074	18.172953778
SRS019597.1337	0.416666666667	1396.85350201	0.5	0.333333333333	16.0282895451	13.4975776526
SRS019597.1898	0.416666666667	1555.66051268	0.5	0.333333333333	16.039097992	13.5052416326
SRS015996.12111	0.416666666667	3020.22378812	0.5	0.333333333333	16.8503921068	14.0758872851
SRS019597.1795	0.416666666667	2165.90767727	0.5	0.333333333333	16.2221659577	13.6348027826
