# Gene Family	demo_Abundance-RPKs
UniRef90_R9HD97|g__Bacteroides.s__Bacteroides_vulgatus	19.6078431373
UniRef90_A6KXD7	19.3236714976
UniRef90_A6KXD7|g__Bacteroides.s__Bacteroides_dorei	9.6618357488
UniRef90_A6KXD7|g__Bacteroides.s__Bacteroides_vulgatus	9.6618357488
UniRef90_B7AMT3	19.0476190476
UniRef90_B7AMT3|g__Bacteroides.s__Bacteroides_vulgatus	19.0476190476
UniRef90_U5C7R6	19.0476190476
UniRef90_U5C7R6|g__Bacteroides.s__Bacteroides_vulgatus	19.0476190476
UniRef90_Q650C6	18.9393939394
UniRef90_Q650C6|g__Bacteroides.s__Bacteroides_vulgatus	15.1515151515
UniRef90_Q650C6|g__Bacteroides.s__Bacteroides_dorei	3.7878787879
UniRef90_R7NUD1	18.8640132670
UniRef90_R7NUD1|g__Bacteroides.s__Bacteroides_vulgatus	18.8640132670
UniRef90_A6L756	18.5185185185
UniRef90_A6L756|g__Bacteroides.s__Bacteroides_vulgatus	18.5185185185
UniRef90_B6VYA5	18.5185185185
UniRef90_B6VYA5|g__Bacteroides.s__Bacteroides_dorei	18.5185185185
UniRef90_B6VS18	17.5438596491
UniRef90_B6VS18|g__Bacteroides.s__Bacteroides_dorei	17.5438596491
UniRef90_C3Q3W9	17.5438596491
UniRef90_C3Q3W9|g__Bacteroides.s__Bacteroides_dorei	17.5438596491
UniRef90_R6HJR2	17.5438596491
UniRef90_R6HJR2|g__Bacteroides.s__Bacteroides_dorei	17.5438596491
UniRef90_R9H8N9	17.5438596491
UniRef90_R9H8N9|g__Bacteroides.s__Bacteroides_vulgatus	17.5438596491
UniRef90_R9HG33	17.5438596491
UniRef90_R9HG33|g__Bacteroides.s__Bacteroides_vulgatus	17.5438596491
UniRef90_K6B0B3	16.9637551990
UniRef90_K6B0B3|g__Bacteroides.s__Bacteroides_dorei	10.9031491384
UniRef90_K6B0B3|g__Bacteroides.s__Bacteroides_vulgatus	6.0606060606
UniRef90_R5JPA6	16.8855534709
UniRef90_R5JPA6|g__Bacteroides.s__Bacteroides_vulgatus	16.8855534709
UniRef90_U5FT06	16.7693829744
UniRef90_U5FT06|unclassified	16.7693829744
UniRef90_A6KZR7	16.7427701674
UniRef90_A6KZR7|g__Bacteroides.s__Bacteroides_dorei	9.1324200913
UniRef90_A6KZR7|g__Bacteroides.s__Bacteroides_vulgatus	7.6103500761
UniRef90_A6L5E0	16.6666666667
UniRef90_A6L5E0|g__Bacteroides.s__Bacteroides_dorei	16.6666666667
UniRef90_B6W456	16.6666666667
UniRef90_B6W456|g__Bacteroides.s__Bacteroides_dorei	16.6666666667
UniRef90_R7NZY6	16.6666666667
UniRef90_R7NZY6|g__Bacteroides.s__Bacteroides_vulgatus	16.6666666667
UniRef90_R6HID2	16.5484633570
UniRef90_R6HID2|g__Bacteroides.s__Bacteroides_dorei	11.8203309693
UniRef90_R6HID2|g__Bacteroides.s__Bacteroides_vulgatus	4.7281323877
UniRef90_I8ZG91	16.4609053498
UniRef90_I8ZG91|g__Bacteroides.s__Bacteroides_vulgatus	16.4609053498
UniRef90_G1ULG1	16.3934426230
UniRef90_G1ULG1|g__Bacteroides.s__Bacteroides_dorei	16.3934426230
UniRef90_R6HKJ4	16.2601626016
UniRef90_R6HKJ4|g__Bacteroides.s__Bacteroides_dorei	8.1300813008
UniRef90_R6HKJ4|g__Bacteroides.s__Bacteroides_vulgatus	8.1300813008
UniRef90_A6L5B2	16.2037037037
UniRef90_A6L5B2|g__Bacteroides.s__Bacteroides_vulgatus	9.2592592593
UniRef90_A6L5B2|g__Bacteroides.s__Bacteroides_dorei	6.9444444444
UniRef90_I9QMD3	16.1290322581
UniRef90_I9QMD3|g__Bacteroides.s__Bacteroides_dorei	16.1290322581
UniRef90_A6L303	15.8730158730
UniRef90_A6L303|g__Bacteroides.s__Bacteroides_vulgatus	9.0702947846
UniRef90_A6L303|g__Bacteroides.s__Bacteroides_dorei	6.8027210884
UniRef90_R6IEY0	15.8730158730
UniRef90_R6IEY0|g__Bacteroides.s__Bacteroides_dorei	15.8730158730
UniRef90_R9HCS0	15.8730158730
UniRef90_R9HCS0|g__Bacteroides.s__Bacteroides_vulgatus	15.8730158730
UniRef90_Q64WL4	15.5038759690
UniRef90_Q64WL4|g__Bacteroides.s__Bacteroides_dorei	15.5038759690
UniRef90_R6HM78	15.4937654938
UniRef90_R6HM78|g__Bacteroides.s__Bacteroides_vulgatus	11.9047619048
UniRef90_R6HM78|g__Bacteroides.s__Bacteroides_dorei	3.5890035890
UniRef90_A6KYS7	15.4412247848
UniRef90_A6KYS7|g__Bacteroides.s__Bacteroides_vulgatus	9.5932715684
UniRef90_A6KYS7|g__Bacteroides.s__Bacteroides_dorei	5.8479532164
UniRef90_A6L3X7	15.4349956634
UniRef90_A6L3X7|g__Bacteroides.s__Bacteroides_dorei	15.4349956634
UniRef90_Q650D8	15.4320987654
UniRef90_Q650D8|g__Bacteroides.s__Bacteroides_vulgatus	12.3456790123
UniRef90_Q650D8|g__Bacteroides.s__Bacteroides_dorei	3.0864197531
UniRef90_I9PQN8	15.3846153846
UniRef90_I9PQN8|g__Bacteroides.s__Bacteroides_dorei	15.3846153846
UniRef90_R7NWM3	15.3061224490
UniRef90_R7NWM3|g__Bacteroides.s__Bacteroides_vulgatus	11.9047619048
UniRef90_R7NWM3|g__Bacteroides.s__Bacteroides_dorei	3.4013605442
UniRef90_C3PW36	15.2030509173
UniRef90_C3PW36|g__Bacteroides.s__Bacteroides_dorei	15.2030509173
UniRef90_F7UWW6	15.1515151515
UniRef90_F7UWW6|g__Bacteroides.s__Bacteroides_dorei	15.1515151515
UniRef90_R6HLV0	15.1515151515
UniRef90_R6HLV0|g__Bacteroides.s__Bacteroides_vulgatus	9.0909090909
UniRef90_R6HLV0|g__Bacteroides.s__Bacteroides_dorei	6.0606060606
UniRef90_A6L277	14.9253731343
UniRef90_A6L277|g__Bacteroides.s__Bacteroides_vulgatus	14.9253731343
UniRef90_A6KXY7	14.8736972266
UniRef90_A6KXY7|g__Bacteroides.s__Bacteroides_dorei	8.3377495142
UniRef90_A6KXY7|g__Bacteroides.s__Bacteroides_vulgatus	6.5359477124
UniRef90_D1K0Y4	14.8148148148
UniRef90_D1K0Y4|g__Bacteroides.s__Bacteroides_dorei	7.4074074074
UniRef90_D1K0Y4|g__Bacteroides.s__Bacteroides_vulgatus	7.4074074074
UniRef90_D1K4H6	14.5798783858
UniRef90_D1K4H6|g__Bacteroides.s__Bacteroides_dorei	14.5798783858
UniRef90_R6HSV0	14.5131911393
UniRef90_R6HSV0|g__Bacteroides.s__Bacteroides_dorei	14.5131911393
UniRef90_C6Z3C4	14.4927536232
UniRef90_C6Z3C4|g__Bacteroides.s__Bacteroides_vulgatus	14.4927536232
UniRef90_Q650E5	14.4927536232
UniRef90_Q650E5|g__Bacteroides.s__Bacteroides_dorei	14.4927536232
UniRef90_R6HMH8	14.4927536232
UniRef90_R6HMH8|g__Bacteroides.s__Bacteroides_dorei	14.4927536232
UniRef90_R9HQ76	14.4927536232
UniRef90_R9HQ76|g__Bacteroides.s__Bacteroides_vulgatus	14.4927536232
UniRef90_R6HM09	14.4383044680
UniRef90_R6HM09|g__Bacteroides.s__Bacteroides_dorei	11.5143278598
UniRef90_R6HM09|g__Bacteroides.s__Bacteroides_vulgatus	2.9239766082
UniRef90_R6CCT5	14.3678160920
UniRef90_R6CCT5|g__Bacteroides.s__Bacteroides_vulgatus	11.4942528736
UniRef90_R6CCT5|g__Bacteroides.s__Bacteroides_dorei	2.8735632184
UniRef90_I9F7R5	14.1843971631
UniRef90_I9F7R5|g__Bacteroides.s__Bacteroides_dorei	14.1843971631
UniRef90_A6KWV2	13.8888888889
UniRef90_A6KWV2|g__Bacteroides.s__Bacteroides_vulgatus	13.8888888889
UniRef90_C3PVL5	13.8888888889
UniRef90_C3PVL5|g__Bacteroides.s__Bacteroides_dorei	13.8888888889
UniRef90_D6CZE7	13.8312586445
UniRef90_D6CZE7|g__Bacteroides.s__Bacteroides_vulgatus	13.8312586445
UniRef90_R7P0P4	13.8067061144
UniRef90_R7P0P4|g__Bacteroides.s__Bacteroides_dorei	13.8067061144
UniRef90_Q9ZUH4	13.7815543238
UniRef90_Q9ZUH4|unclassified	13.7815543238
UniRef90_I9QBE7	13.7741046832
UniRef90_I9QBE7|g__Bacteroides.s__Bacteroides_dorei	13.7741046832
UniRef90_Q5L8D4	13.7457044674
UniRef90_Q5L8D4|g__Bacteroides.s__Bacteroides_dorei	10.3092783505
UniRef90_Q5L8D4|g__Bacteroides.s__Bacteroides_vulgatus	3.4364261168
UniRef90_Q650G6	13.6054421769
UniRef90_Q650G6|g__Bacteroides.s__Bacteroides_dorei	13.6054421769
UniRef90_R6HLL3	13.6054421769
UniRef90_R6HLL3|g__Bacteroides.s__Bacteroides_dorei	13.6054421769
UniRef90_R7NS71	13.5135135135
UniRef90_R7NS71|g__Bacteroides.s__Bacteroides_dorei	9.0090090090
UniRef90_R7NS71|g__Bacteroides.s__Bacteroides_vulgatus	4.5045045045
UniRef90_A6KXU6	13.3333333333
UniRef90_A6KXU6|g__Bacteroides.s__Bacteroides_vulgatus	13.3333333333
UniRef90_B6W5J0	13.3333333333
UniRef90_B6W5J0|g__Bacteroides.s__Bacteroides_dorei	13.3333333333
UniRef90_R7P2W5	13.3333333333
UniRef90_R7P2W5|g__Bacteroides.s__Bacteroides_dorei	13.3333333333
UniRef90_A6KZJ9	13.1362889984
UniRef90_A6KZJ9|g__Bacteroides.s__Bacteroides_dorei	8.2101806240
UniRef90_A6KZJ9|g__Bacteroides.s__Bacteroides_vulgatus	4.9261083744
UniRef90_A6L1U6	13.1362889984
UniRef90_A6L1U6|g__Bacteroides.s__Bacteroides_dorei	6.5681444992
