	N00002	N00003	N00005	N00007	N00009	N00010	N00011	N00015	N00017	N00019	N00021	N00022	N00024	N00027	N00028	N00029	N00032	N00033	N00034	N00040	N00042	N00044	N00046	N00047	N00048	N00050	N00053	N00054	N00056	N00058	N00060	N00061	N00062	N00064	N00066	N00067	N00070	N00071	N00072	N00076	N00078	N00080	N00082	N00084	N00086	N00088	N00089	N00090	N00091	N00092	N00093	N00100	N00102	N00104	N00106	N00108	N00109	N00112	N00114	N00115	N00116	N00117	N00119	N00120	N00121	N00123	N00125	N00127	N00129	N00133	N00134	N00136	N00138	N00140	N00141	N00143	N00144	N00146	N00148	N00150	N00153	N00154	N00157	N00159	N00161	N00164	N00166	N00170	N00172	N00174	N00176	N00177	N00178	N00179	N00180	N00182	N00184	N00185	N00186	N00188	N00190	N00192	N00193	N00194	N00195	N00197	N00198	N00199	N00200	N00201	N00202	N00203	N00205	N00207	N00209	N00211	N00213	N00215	N00216	N00217	N00219	N00221	N00222	N00223	N00225	N00228	N00229	N00230	N00234	N00236	N00237	N00240	N00241	N00242	N00243	N00244	N00246	N00248	N00254	N00255	N00256	N00257	N00263	N00265	N00267	N00269	N00272	N00275	N00277	N00278	N00279	N00284	N00285	N00286	N00287	N00291	N00292	N00294	N00297	N00299	N00300	N00313	N00319	N00326	N00328	N00329	N00356	N00357	N00358	N00360	N00362	N00364	N00366	N00367	N00368	N00370	N00371	N00372	N00373	N00378	N00380	N00383	N00385	N00387	N00391	N00395	N00398	N00399	N00401	N00403	N00404	N00408	N00410	N00412	N00414	N00415	N00417	N00418	N00420	N00422	N00424	N00428	N00430	N00431	N00432	N00436	N00440	N00442	N00446	N00447	N00449	N00453	N00457	N00460	N00461	N00469	N00471	N00472	N00473	N00474	N00477	N00479	N00481	N00483	N00485	N00487	N00488	N00489	N00496	N00497	N00499	N00501	N00505	N00507	N00510	N00513	N00514	N00515	N00518	N00520	N00522	N00525	N00529	N00650	N00652	N00654	N00656	N00657	N00658	N00661	N00665	N00667	N00669	N00671	N00673
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|10	2	30	37	443	0	2	0	8	0	2	1	4	55	2	116	0	458	1	0	0	5	0	330	1067	0	0	0	0	1425	19	2	0	9	268	41	50	1	23	69	12	47	792	0	128	0	35	1	0	25	0	0	547	39	0	1	7854	4796	0	386	1995	0	0	45	39	2137	1	1	0	0	36	0	2945	0	631	325	0	0	1	597	2	63	0	0	374	410	396	529	0	1	3689	151	32	170	602	0	88	0	0	19	4627	1	1980	266	6	112	0	0	249	155	10	45	0	0	0	676	0	4	0	0	5	0	13	0	0	17	0	7	0	25	0	0	0	0	0	0	644	0	116	0	0	70	18	0	228	0	540	69	9	472	439	1009	77	229	42	4	922	154	0	0	0	0	768	0	0	41	3	71	90	0	0	19	30	294	190	8	1	0	0	0	0	0	0	0	0	0	33	0	1	0	1	57	0	0	1	0	0	1	0	97	900	84	5637	1	1	142	0	3	190	81	974	4	1379	0	0	0	0	8	7	453	1200	4728	0	141	66	948	652	972	0	267	6	1	5123	339	400	0	2	4247	1089	0	1334	0	0	1103	0	0	115	0	0	55	154	0	11	1	0	0
k__Bacteria|p__Tenericutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Clostridium|11	1459	71	1	285	0	0	0	0	0	227	34	0	0	4	149	1	2094	584	954	189	72	0	15	57	1	0	62	0	1450	2463	0	0	0	657	235	131	2	49	0	0	88	0	0	0	538	90	310	206	371	57	33	0	603	0	2	92	59	1	0	48	0	0	111	147	0	0	0	0	0	0	0	0	23	5	1	43	96	0	10	0	0	0	0	0	0	10	251	0	0	139	340	181	318	1136	1	243	0	1	1	1003	5859	0	0	0	0	0	0	90	139	6	14	0	0	12	650	0	0	0	0	0	0	144	103	26	183	15	29	0	0	0	0	182	214	0	0	0	1	0	303	207	338	152	21	0	151	11	6	27	0	0	32	38	401	117	130	1077	189	0	6	294	834	0	197	790	4	0	60	133	978	0	146	2	21	1	11	0	0	134	75	0	0	45	0	38	82	0	0	58	3	1	0	0	0	0	0	0	102	103	219	49	178	1602	0	0	14	1255	10	9	26	138	466	34	5	0	19	71	124	460	1250	2119	513	64	0	57	6	3	32	3	455	0	0	1	60	736	8	0	540	58	0	0	0	5528	285	1	0	51	17	9	150	119	6	9	2	0	1
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Ruminococcus|12	1	99	0	0	0	0	0	0	8	0	0	0	1	0	0	13	0	12	24	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	10	8	3	1	0	27	0	11	0	0	1	0	0	2	3	9	6	0	0	0	7	11	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	10	0	0	0	1	7	2	0	2	3	0	0	0	0	3	0	0	0	0	0	0	0	21	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	105	0	0	0	0	0	0	0	0	23	1	1	18	0	0	0	5	1	81	63	4	0	18	0	0	27	19	0	0	30	0	0	0	0	0	0	0	16	2	1	0	0	14	0	2	8	0	173	0	0	0	0	0	0	0	4	0	27	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	0	0	6	0	0	0	2	1	1	25	3	2	0	1	3	1	0	0	24	0	0	1	0	1	3	0	0	0	0	6	4	0	0	0	0	0	0	1	0	7	0	1	0	1	1	0	3	0	0	0	38	58	0	1	5	1	16	0	39
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|14	1	0	0	0	0	0	0	0	4	0	0	2	1	0	0	0	2	0	1	0	2	0	2	7	0	0	1	0	10	43	0	0	0	2	0	0	22	2	0	0	35	0	0	0	27	0	0	1	9	5	10	0	21	0	0	19	13	0	0	0	0	0	1	0	0	15	0	0	0	0	0	40	0	0	0	0	0	1	1	1	4	2	0	3	2	0	3	0	0	0	0	3	30	5	0	4	0	0	0	0	19	0	0	0	0	0	0	0	0	0	1	1	0	0	6	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	1	3	12	6	0	0	0	0	0	0	0	0	8	0	7	0	16	1	0	0	0	0	0	0	6	0	4	4	0	0	28	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	8	49	0	0	0	0	1	0	0	0	0	0	0	0	2	22	0	38	0	0	2	1	3	0	0	1	25	10	0	0	11	0	0	1	1	4	17	7	12	2	1	1	1	0	20	0	1	113	228	64	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|15	3	0	0	0	0	0	0	0	49	0	1047	484	527	1	8	464	1	202	407	72	716	0	47	118	202	1	490	0	142	1	4	0	72	247	15	10	0	0	18	20	36	45	1275	0	211	124	333	0	3	102	67	1	0	0	37	13	21	1	0	1	0	0	137	66	1	83	0	0	119	0	44	0	9	0	0	57	59	504	10	23	74	13	0	21	0	0	17	0	0	1	0	0	0	1	156	12	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	21	0	0	0	0	3	0	0	493	31	0	24	252	0	0	0	3	3	84	110	7	0	0	0	0	184	48	0	0	0	9	0	52	0	0	0	0	22	33	150	0	0	516	8	0	9	0	482	0	7	9	0	0	0	0	2	0	112	109	669	0	1	0	21	0	10	0	0	0	1	0	0	0	213	0	15	0	0	0	25	3	0	0	228	4	20	1	1	11	615	2053	1	30	0	0	142	130	0	0	46	0	0	0	87	61	20	1	0	0	0	573	1619	0	8	1	0	0	17	0	126	48	33	0	0	1	0	0	1	1	0	582	23	9	0	0	187	19	85	0	224
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|16	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	30	89	17	0	0	0	51	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	18	0	0	0	0	2	0	0	223	114	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	5	22	0	0	0	0	0	1	0	0	0	0	0	1	0	1345	500	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	75	0	202	126	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	37	81	2	0	1	0	0	0	25	0	1	8	0	0	4	0	0	0	0	0	1	7	0	2	1	29	0	3	0	76	164	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|17	14	2	0	2	0	1	0	0	0	0	1	2	0	0	0	18	0	2	1	0	3	0	0	1	28	2	0	1	0	20	0	0	1	2	0	0	0	0	0	0	0	4	22	1	0	9	9	0	1	0	0	225	5	246	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	8	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	19	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	10	7	42	0	0	0	2	30	0	0	1	0	1	0	0	3	103	0	0	1	0	0	0	0	0	5	1	0	0	0	0	1	0	0	0	0	145	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	14	0	1	0	4	0	11	1	0	2	15	0	0	0	1	0	0	0	0	120	0	6	0	0	0	0	0	5	1	0	2	0	7	0	0	0	2	1	1	5	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	8	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	29
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|19	44	0	0	1	0	0	0	2	2	0	0	0	0	0	5	46	0	0	0	0	12	0	0	0	3	0	0	0	8	0	0	0	9	0	19	16	2	0	0	82	0	109	0	0	0	0	1	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	6	0	0	7	0	1	0	0	0	0	5	2	16	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	26	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	7	147	10	0	0	0	2	0	18	60	0	0	0	0	0	14	4	0	0	200	1	117	0	0	0	0	0	25	7	0	0	0	2	0	1	6	0	527	0	0	1	0	0	0	0	9	0	81	47	96	0	0	0	0	1	1	0	0	0	0	0	0	0	70	13	16	0	0	0	0	0	0	0	16	0	0	0	3	3	246	8	0	206	0	103	132	10	0	0	128	0	0	0	0	0	192	0	0	0	0	37	98	0	4	0	0	0	0	1	26	394	13	0	0	121	0	0	0	0	0	0	6	5	0	0	191	3	9	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|20	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	1	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	73	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	55	201	0	0	0	0	0	0	0	0	0	0	0	0	74	111	0	0	0	0	0	0	0	0	0	0	142	65	0	0	0	221	0	0	0	0	218	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	157	2	0	1	0	0	0	65	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	6	0	0	0	3	196	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	120
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|21	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	2	2	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	6	0	0	0	39	0	0	0	0	0	0	1	0	0	0	207	88	10	1	14	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	540	1	0	182	86	0	323	0	0	0	1	3	0	0	0	0	0	0	22	64	0	0	0	0	0	1316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	102	0	0	7	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	1	0	0	2	1	1	0	0	0	0	1	6	918	3009	21	0	0	4	0	4	2	0	0	0	0	0	0	171	0	0	6	0	0	1	0	0	135	0	0	0	0	0	0	1	0	2	0	0	0
