	N00002	N00003	N00005	N00007	N00009	N00010	N00011	N00015	N00017	N00019	N00021	N00022	N00024	N00027	N00028	N00029	N00032	N00033	N00034	N00040	N00042	N00044	N00046	N00047	N00048	N00050	N00053	N00054	N00056	N00058	N00060	N00061	N00062	N00064	N00066	N00067	N00070	N00071	N00072	N00076	N00078	N00080	N00082	N00084	N00086	N00088	N00089	N00090	N00091	N00092	N00093	N00100	N00102	N00104	N00106	N00108	N00109	N00112	N00114	N00115	N00116	N00117	N00119	N00120	N00121	N00123	N00125	N00127	N00129	N00133	N00134	N00136	N00138	N00140	N00141	N00143	N00144	N00146	N00148	N00150	N00153	N00154	N00157	N00159	N00161	N00164	N00166	N00170	N00172	N00174	N00176	N00177	N00178	N00179	N00180	N00182	N00184	N00185	N00186	N00188	N00190	N00192	N00193	N00194	N00195	N00197	N00198	N00199	N00200	N00201	N00202	N00203	N00205	N00207	N00209	N00211	N00213	N00215	N00216	N00217	N00219	N00221	N00222	N00223	N00225	N00228	N00229	N00230	N00234	N00236	N00237	N00240	N00241	N00242	N00243	N00244	N00246	N00248	N00254	N00255	N00256	N00257	N00263	N00265	N00267	N00269	N00272	N00275	N00277	N00278	N00279	N00284	N00285	N00286	N00287	N00291	N00292	N00294	N00297	N00299	N00300	N00313	N00319	N00326	N00328	N00329	N00356	N00357	N00358	N00360	N00362	N00364	N00366	N00367	N00368	N00370	N00371	N00372	N00373	N00378	N00380	N00383	N00385	N00387	N00391	N00395	N00398	N00399	N00401	N00403	N00404	N00408	N00410	N00412	N00414	N00415	N00417	N00418	N00420	N00422	N00424	N00428	N00430	N00431	N00432	N00436	N00440	N00442	N00446	N00447	N00449	N00453	N00457	N00460	N00461	N00469	N00471	N00472	N00473	N00474	N00477	N00479	N00481	N00483	N00485	N00487	N00488	N00489	N00496	N00497	N00499	N00501	N00505	N00507	N00510	N00513	N00514	N00515	N00518	N00520	N00522	N00525	N00529	N00650	N00652	N00654	N00656	N00657	N00658	N00661	N00665	N00667	N00669	N00671	N00673
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|22	88	1	97	54	1	1	0	48	0	0	28	0	5	13	0	4	1	0	0	0	1	0	3	2	0	0	36	0	0	0	0	0	2	0	14	12	1	1	0	0	1	0	0	27	0	0	0	0	0	0	0	0	1	0	56	0	0	49	0	0	0	0	3	2	1	1	310	1	0	547	0	0	0	5	2	130	216	1	2	0	800	287	0	0	0	0	14	0	0	158	1	3	27	3	0	1	1	3	159	0	0	460	211	1	0	0	0	36	21	4	2	4	0	1	1	87	21	0	0	0	0	0	1	0	0	640	296	0	0	0	0	0	0	0	1	0	0	0	0	0	6	3	0	130	16	0	4	13	20	70	2	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	138	424	0	2	0	0	0	0	0	0	1	149	304	0	464	1228	0	355	0	0	2	0	0	1	0	0	3	0	1	1	3	2	0	2	4	1	5	1	0	0	0	9	17	1	2	9	1	1	74	1	0	1	24	0	0	0	9	0	87	0	0	8	0	0	3292	0	0	237	0	0	0	46	77	5	8	7	0	38	0	0
k__Bacteria|23	4	0	2	16	5	0	2	27	36	10	7	9	9	0	0	0	0	0	5	0	6	12	1	1	5	68	0	0	0	1	5	5	3	79	1	0	4	4	21	24	4	5	13	2	17	0	6	1	15	5	1	16	16	4	0	3	1	0	2	14	4	5	0	1	5	60	12	0	102	2	92	14	2	9	7	3	8	108	57	37	3	4	2	27	22	12	6	1	56	19	25	15	7	13	81	19	0	0	1	1	16	4	12	0	2	1	0	1	1	0	0	0	1	11	4	0	22	0	3	0	12	0	0	20	1	0	1	1	9	1	2	1	1	5	1	6	5	8	0	3	0	0	4	24	1	3	0	0	3	3	3	17	0	1	1	1	1	1	10	11	1	7	1	4	0	0	4	2	10	9	5	13	0	0	7	1	3	2	2	3	3	18	22	12	29	0	1	5	0	3	4	3	0	6	0	2	0	0	2	7	0	6	0	0	0	30	11	2	2	0	0	0	0	3	5	1	0	1	0	4	5	3	3	8	0	0	0	4	1	2	1	4	7	2	1	8	1	1	1	7	4	0	1	4	1	0	0	0	0	0	1	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eubacterium|25	1	4	0	0	0	0	0	0	121	0	5	0	0	0	1	358	0	0	1	583	46	0	132	372	21	0	8	0	124	443	0	0	146	239	0	2	0	0	0	25	4	18	13	0	26	0	0	0	1	2	18	649	0	0	8	2	1	0	0	0	0	0	6	9	0	61	1	0	35	139	26	1	3	0	0	79	155	252	4	18	0	0	0	25	0	0	42	1	0	0	0	0	0	3	90	25	0	0	0	106	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	1	72	3	10	344	0	0	0	1	0	296	281	87	0	669	0	0	249	201	0	0	1764	4	42	11	1	0	0	0	165	56	403	1	0	259	8	0	0	0	901	0	16	2	1	0	1	0	3	0	28	16	215	0	0	0	51	0	8	1	0	3	0	0	0	0	112	6	12	0	1	0	29	0	0	0	37	0	39	1	0	0	57	0	1	86	13	0	8	0	0	0	52	0	0	2	75	52	231	2	0	0	61	60	100	1	42	1	0	1	0	0	0	194	5	0	0	0	1	0	2	2	0	0	24	3	0	0	219	30	40	0	1
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Clostridium|26	41	111	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	339	1069	1	0	0	0	2	0	3	169	0	126	0	0	0	3	0	52	54	48	75	0	322	1	0	1	0	0	1	0	0	1	275	344	1	2	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	196	0	0	0	0	0	0	129	38	58	1	0	0	0	0	1	0	1	168	0	0	0	0	0	0	0	280	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	21	0	0	0	0	0	1	0	0	0	1	22	996	0	0	0	2	0	110	156	0	0	1	0	0	0	0	0	0	527	0	0	0	0	0	0	0	0	0	67	0	0	187	24	0	1	0	320	0	0	1	0	0	0	0	11	0	279	109	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	3	0	0	12	388	3	68	67	0	1	1	0	0	1	0	0	1	1	4	6	3	0	1	0	733	1810	0	616	1	1	2	219	0	0	61	0	0	0	0	0	1	1	0	0	133	624	457	0	0	37	0	133	1	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|27	8	0	8	0	5	16	0	1	0	0	0	0	0	0	0	0	9	1	1	2	0	0	0	0	0	104	0	23	2	4	0	0	0	4	1	0	0	1	0	0	0	1	1	41	0	0	0	0	0	0	7	0	0	133	0	1	0	0	0	0	0	3	0	0	9	1	0	1	0	1	0	1	5	3	0	0	0	0	0	0	0	0	1	0	0	76	0	0	0	0	0	0	1	0	0	0	5	1	15	0	1	0	0	44	39	0	0	1	2	0	0	0	170	0	0	0	4	81	128	4	2	0	0	0	0	1	3	0	10	4	1	1	0	1	0	0	510	32	0	0	1	0	1	0	0	0	0	0	0	1	4	12	0	0	0	14	6	1	0	0	0	36	1	9	0	0	0	0	0	16	0	35	0	0	4	3	1	0	0	109	0	236	5	0	0	2	0	0	0	0	3	0	0	0	0	0	0	4	0	5	0	3	0	0	0	0	1	0	0	0	1	4	2	31	0	0	0	1	10	18	0	0	3	0	0	0	0	71	0	0	0	1	0	0	0	0	17	1	10	37	0	0	0	7	1	0	0	0	9	1	0	0	0	24	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Epulopiscium|28	0	0	0	36	0	0	0	0	0	0	0	0	0	11	4	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	14	0	0	48	19	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	152	76	0	0	0	0	1	44	12	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	20	2	0	0	0	1	0	53	25	0	0	2	44	0	0	0	87	34	0	0	0	1	134	184	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	40	5	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	1	0	48	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	14	0	1	0	0	101	0	0	0	0	0	44	0	0	1	0	1	0	0	0	0	0	1	1	0	2	2	0	0	0	0	0	0	0	0	2	1	1	368	0	0	0	0	0	0	0	0	1	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	15	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	31	4	0	0	0	0	0	0	0	0	0	0	0	0	179	102	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	3	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1	186	263	1	0	0	0	0	36	35	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	39	0	1
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Ruminococcus|31	1340	0	0	2	0	0	0	20	404	58	2	3	4	19	536	0	0	0	0	110	0	0	1	0	0	0	0	0	0	891	0	0	75	0	0	0	0	0	0	0	229	1	1	0	0	31	53	12	120	0	0	0	1	0	5	4702	1434	0	0	3	0	0	585	564	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	73	326	0	0	0	0	0	0	14	36	226	0	0	0	1	0	0	0	0	0	37	22	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	148	55	2	0	0	0	1	0	0	0	0	0	0	0	0	0	899	0	0	1	0	0	0	0	3	179	62	0	0	1573	0	630	106	0	1266	440	0	0	0	0	0	0	6	0	0	0	0	0	0	42	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	142	1	21	1079	1	0	0	3	0	0	0	0	0	0	205	0	0	56	0	0	3	7	0	761	6	0	0	105	2	0	0	1	2	0	1617	0	0	0	0	1	0	0	0	1	0	3	0	0	155	0	0	0	0	0	0	0	0	13
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Tepidibacter|32	1	0	1	207	0	0	0	0	8	0	4	0	0	2	0	0	0	40	198	0	1092	0	0	0	0	0	14	0	695	0	4744	1712	0	0	9	11	0	0	176	0	772	1	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	2	0	0	652	401	0	0	0	2	0	1	0	0	0	85	0	0	0	133	462	0	0	0	0	0	0	0	44	6	1	0	0	0	0	1	0	0	0	195	0	1	3	0	1	0	0	0	0	215	5	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	17	0	0	0	0	0	0	288	162	2	0	0	0	0	5	4	1	0	0	1630	0	2223	0	0	114	126	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	592	261	0	53	0	0	0	0	0	670	650	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	1	50	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	37	0	2	2	0	0	0
Unclassified|35	0	3	0	17	1	17	1	1	1	3	1	0	4	83	0	0	1	0	1	1	0	17	1	0	1	37	0	61	0	0	1	7	0	3	0	0	7	0	3	0	58	1	2	194	0	0	3	0	3	1	0	1	1	6	123	1	0	21	0	4	0	1	0	0	2	1	4	111	5	0	2	1	112	52	1	0	0	2	3	0	0	2	85	2	1	8	0	96	0	1	7	0	59	1	2	0	90	151	222	1	0	2	0	92	0	3	0	1	5	0	1	8	50	37	2	2	55	61	37	19	93	0	0	20	1	2	0	5	8	6	142	52	5	172	8	2	29	4	3	2	1	0	8	13	0	1	0	1	2	17	2	34	2	0	2	6	31	0	8	23	3	10	0	1	0	11	14	3	15	16	5	17	3	3	2	42	17	13	16	39	1	2	23	0	9	51	4	4	3	11	6	4	93	14	41	52	2	11	2	51	5	7	1	2	1	7	6	1	11	10	1	0	34	2	13	6	7	19	0	20	8	1	278	8	2	1	0	22	0	5	51	7	111	2	22	11	3	7	0	18	11	4	2	2	20	0	2	0	3	1	0	0	0	25	3
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|36	3	3	0	1	0	0	0	0	14703	0	21	50	19	57	0	0	1	0	1	0	0	6	1	1	0	0	21	0	0	0	0	1	0	1	0	0	0	1	0	0	2	2	4724	0	0	0	2	0	0	1	0	0	0	0	14	4	4	0	0	3	0	0	0	0	1	69	0	0	13	1	0	1	0	0	2	0	1	41	0	0	1	0	0	0	0	0	0	28	0	2	8	2	0	1	0	1	10	14	0	2	1	2	0	0	1	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	0	0	0	0	0	1	12	0	0	0	0	3	1	3	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	4	0	0	177	2401	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	25	0	548	0	0	0	0	0	1	0	0	2	0	0	0	0	1	1	0	0	0	101	3	0	0	0	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|37	0	905	0	0	0	0	0	0	23	0	0	0	0	0	0	778	1	0	0	0	0	0	127	257	112	0	1	0	1625	1286	0	0	0	0	0	0	0	0	0	101	0	298	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	3	22	1	29	201	58	0	0	0	0	0	0	0	0	109	0	0	0	0	0	1	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	1	0	2	13	0	0	0	0	0	0	0	0	1	0	0	0	48	34	0	0	1557	0	0	0	0	0	0	0	0	0	5	0	0	72	0	0	0	0	252	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	2	0	1	0	0	1	0	672	370	5	0	2	16	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	26
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|38	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1983	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2179	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2183	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	61	21	0	0	0	0	1	0	0	1	0	0	0	0	3412	0	1	2	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|39	0	30	0	0	0	0	0	0	45	0	1295	630	588	0	6	234	0	1	2	0	0	0	0	0	0	1	1193	0	615	0	0	0	1702	1	2	1	0	1	1	244	0	450	0	0	0	0	1	2	0	0	0	1	54	0	5	2	1	0	0	0	0	0	410	430	1	1	0	0	64	0	131	0	18	0	0	28	47	30	0	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	689	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	1	0	0	0	0	262	6	101	565	0	0	0	3	0	0	1	4	0	26	0	0	804	398	0	0	0	0	101	0	0	1	140	0	394	177	66	0	0	0	0	0	0	0	178	0	31	32	0	2	0	1	0	0	223	110	104	0	0	0	0	0	5	0	0	0	0	0	0	21	2	1	0	0	0	0	0	0	0	0	116	0	292	1	117	163	112	0	4	155	41	0	2	173	0	0	0	1	2	1	1	0	5	0	0	1	1	219	279	0	0	0	0	1	0	1	41	258	4	0	0	2	0	1	1	0	0	4	0	0	0	1	176	75	629	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|40	0	4	2	0	0	6	0	0	0	0	4	0	0	0	0	5	0	1	0	0	89	0	0	0	0	2	0	38	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	17	0	0	0	0	0	0	0	12	1	0	0	0	0	3	0	0	56	26	0	0	0	0	1	31	0	3	0	0	110	4	0	0	0	26	5	0	3	0	0	0	3	2	0	0	0	0	6	2	2	0	0	0	8	9	1	11	1	1	6	5	0	0	0	0	0	0	1	0	19	2	10	3	5	0	0	106	0	2	3	0	0	0	0	0	0	0	1	2	0	0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	2	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	113	0	0	1	0	0	12	9	0	0	78	0	0	0	0	10	0	3	0	0	1	5	0	0	0	0	0	0	0	0	4	2	1	2	2	0	0	2	0	0	9	0	2	0	0	2	0	0	0	0	0	0	2	4	0	0	3	0	0	0	0	140	4	0	3	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Clostridium|41	2	2	0	0	0	0	0	0	11	0	1	1	1	0	0	51	1	0	0	0	18	0	3	14	12	1	72	0	20	2	0	0	6	3	1	0	26	33	0	35	0	42	0	0	3	0	1	64	200	69	70	1	50	0	25	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	57	79	62	2	1	3	0	0	0	1	0	9	0	0	0	0	0	0	0	37	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	37	2	0	0	0	0	0	0	0	0	0	46	457	0	0	0	4	1	33	43	0	0	0	0	0	146	56	0	0	0	14	0	3	0	1	0	10	39	15	2	0	0	102	49	0	0	0	305	0	1	1	1	0	0	0	0	0	1	0	74	0	0	0	0	0	0	0	5	0	169	0	0	0	29	0	0	0	0	0	15	2	0	0	25	0	2	247	1	0	50	20	4	39	7	0	35	0	0	0	0	0	1	1	0	1	1	0	0	0	0	77	62	0	1	0	0	3	48	2	7	37	4	17	0	0	0	0	0	0	0	0	96	184	0	0	84	0	29	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|42	0	1	0	7	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	16	45	0	0	0	0	0	0	1	1	5	1	0	0	0	0	0	0	280	49	0	0	0	0	0	0	0	0	0	0	0	0	1	34	16	1	0	1	0	0	0	0	0	0	0	0	0	0	0	261	0	8	0	0	0	1	0	0	6	0	0	67	0	9	0	0	0	0	0	0	67	3	0	48	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	26	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	1	6	0	0	0	0	4	14	27	0	0	1	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	4	0	0	16	0	0	0	0	0	8	9	16	0	0	61	0	0	5	0	0	0	0	0	0	43	0	0	31	0	2	383	37	0	8	0	0	1	0	0	0	0	0	0	41	0	1	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Turicibacterales|f__Turicibacteraceae|g__Turicibacter|45	2	0	283	0	0	0	0	23	549	0	0	0	0	3	0	20	0	0	0	0	702	0	0	0	0	0	58	33	961	1	485	169	79	2	0	0	0	0	47	0	0	0	0	0	0	47	47	0	0	0	0	0	0	0	0	10	2	0	44	584	0	0	57	21	0	1531	0	0	0	0	0	0	0	144	34	1	0	518	160	0	0	0	0	32	0	0	0	0	0	0	0	34	0	0	0	0	0	7	0	225	670	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	11	25	47	0	66	13	0	2194	0	0	0	0	1	11	0	0	1	1231	609	9	33	0	1156	0	302	0	0	0	0	0	0	0	0	10	0	0	0	0	14	29	0	1	0	0	0	2415	1194	3496	58	0	0	0	0	111	161	168	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	4	540	1	0	0	6	0	0	25	0	0	1	0	1	2	0	2	0	493	0	0	0	0	1010	473	2	0	2	0	63	0	0	0	0	0	0	2225	0	0	0	1	0	41	0	44	20	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteria|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|46	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2691	2061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	219	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	2	4098	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	1	2975	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|49	67	0	0	0	0	0	0	0	14	1	0	0	0	0	0	0	7	8	4	0	0	0	11	54	8	0	44	0	0	0	0	0	0	296	0	0	0	0	0	55	2	6	0	0	0	0	0	0	1	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	1	0	0	11	0	0	0	0	0	0	0	89	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	14	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	15	5	14	0	0	0	0	0	1	0	0	0	785	0	0	0	0	0	0	0	6	2	436	0	0	0	0	0	0	0	175	0	12	18	0	0	0	0	7	0	97	43	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	56	86	100	0	2	1	2	0	172	0	1	31	3	0	1	0	0	0	34	0	0	5	1	0	1	8	0	0	0	25	82	0	0	0	0	152	27	0	0	1	1	9	0	3	0	1	0	0	0	0	7	8	0	14	533	0	29	0	21
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|50	0	6	0	0	0	0	0	0	0	0	1	1	0	0	0	403	1	0	0	0	58	0	43	139	28	0	0	0	81	0	0	0	4	103	0	0	0	0	0	107	20	42	0	0	0	0	0	0	0	19	26	1	0	0	0	0	1	0	0	1	0	0	79	60	0	30	0	0	190	0	0	0	0	0	0	174	151	57	0	0	83	110	0	0	0	0	15	0	0	0	0	0	0	0	52	16	0	1	0	64	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	49	0	0	0	1	0	0	0	0	71	2	17	83	0	0	0	3	9	51	50	0	0	794	0	0	112	84	0	0	643	0	0	0	0	0	0	0	107	71	34	0	0	331	0	0	26	0	786	0	12	2	0	1	0	0	5	1	73	44	0	0	0	0	1	0	7	0	0	0	0	0	0	0	97	0	0	0	0	0	1	0	0	0	0	0	98	2	0	1	33	47	15	76	0	0	38	61	0	0	37	0	0	2	14	35	3	0	0	1	0	60	126	0	0	0	0	1	11	0	43	85	0	0	0	1	0	0	1	0	0	98	2	2	0	0	73	0	17	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|52	0	59	0	0	0	0	0	0	3	0	356	191	105	0	1	7	0	0	0	0	0	0	15	71	1	2	0	0	51	0	0	0	0	1	0	0	1	0	0	4	0	9	0	0	0	1	0	0	1	2	0	0	1	0	7	0	0	0	0	0	0	0	70	43	0	2	0	0	1	0	0	1	11	0	0	4	32	0	0	1	34	3	0	0	0	0	2	0	0	1	0	0	0	0	28	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	9	0	2	0	0	0	0	0	0	0	1	0	0	20	0	0	82	39	0	0	58	0	40	0	0	0	31	0	2	0	35	0	0	0	0	0	0	0	171	0	1	2	0	2	1	0	0	0	13	15	35	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	14	0	0	0	9	0	0	1	33	17	6	3	1	7	0	0	3	0	0	0	0	1	0	1	0	0	4	1	0	0	0	3	3	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	5	0	0	27	33	40	0	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|53	0	4	30	0	0	32	5	12	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	7	3	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	26	73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	6	0	0	18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	245	0	0	3	0	0	0	0	0	0	0	0	0	49	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	9	0	0	68	0	0	0	0	0	37	0	0	0
