	N00002	N00003	N00005	N00007	N00009	N00010	N00011	N00015	N00017	N00019	N00021	N00022	N00024	N00027	N00028	N00029	N00032	N00033	N00034	N00040	N00042	N00044	N00046	N00047	N00048	N00050	N00053	N00054	N00056	N00058	N00060	N00061	N00062	N00064	N00066	N00067	N00070	N00071	N00072	N00076	N00078	N00080	N00082	N00084	N00086	N00088	N00089	N00090	N00091	N00092	N00093	N00100	N00102	N00104	N00106	N00108	N00109	N00112	N00114	N00115	N00116	N00117	N00119	N00120	N00121	N00123	N00125	N00127	N00129	N00133	N00134	N00136	N00138	N00140	N00141	N00143	N00144	N00146	N00148	N00150	N00153	N00154	N00157	N00159	N00161	N00164	N00166	N00170	N00172	N00174	N00176	N00177	N00178	N00179	N00180	N00182	N00184	N00185	N00186	N00188	N00190	N00192	N00193	N00194	N00195	N00197	N00198	N00199	N00200	N00201	N00202	N00203	N00205	N00207	N00209	N00211	N00213	N00215	N00216	N00217	N00219	N00221	N00222	N00223	N00225	N00228	N00229	N00230	N00234	N00236	N00237	N00240	N00241	N00242	N00243	N00244	N00246	N00248	N00254	N00255	N00256	N00257	N00263	N00265	N00267	N00269	N00272	N00275	N00277	N00278	N00279	N00284	N00285	N00286	N00287	N00291	N00292	N00294	N00297	N00299	N00300	N00313	N00319	N00326	N00328	N00329	N00356	N00357	N00358	N00360	N00362	N00364	N00366	N00367	N00368	N00370	N00371	N00372	N00373	N00378	N00380	N00383	N00385	N00387	N00391	N00395	N00398	N00399	N00401	N00403	N00404	N00408	N00410	N00412	N00414	N00415	N00417	N00418	N00420	N00422	N00424	N00428	N00430	N00431	N00432	N00436	N00440	N00442	N00446	N00447	N00449	N00453	N00457	N00460	N00461	N00469	N00471	N00472	N00473	N00474	N00477	N00479	N00481	N00483	N00485	N00487	N00488	N00489	N00496	N00497	N00499	N00501	N00505	N00507	N00510	N00513	N00514	N00515	N00518	N00520	N00522	N00525	N00529	N00650	N00652	N00654	N00656	N00657	N00658	N00661	N00665	N00667	N00669	N00671	N00673
Turicibacter 45	6.33032e-05	0	0.009529582	0	0	0	0	0.002568971	0.018098503	0	0	0	0	0.001668521	0	0.001137398	0	0	0	0	0.030554951	0	0	0	0	0	0.003787631	0.007371007	0.036320345	2.9047e-05	0.036986197	0.029233697	0.004861538	0.000123039	0	0	0	0	0.00632741	0	0	0	0	0	0	0.00349105	0.002497343	0	0	0	0	0	0	0	0	0.000119988	4.77737e-05	0	0.010401891	0.019686499	0	0	0.003208917	0.001695189	0	0.098103294	0	0	0	0	0	0	0	0.012490242	0.004676111	7.32225e-05	0	0.027096302	0.028849621	0	0	0	0	0.002348796	0	0	0	0	0	0	0	0.005661948	0	0	0	0	0	0.001502468	0	0.010994381	0.020902227	0	0.000259	0.000535977	0	0.00010099	0	0	0	0	0	0	0	0	0	0	0.00014476	0	0	0.000132696	0	0.001110102	0.003716367	0.003205784	0	0.004462173	0.001186348	0	0.255383541	0	0	0	0	0.000149566	0.001125435	0	0	6.19617e-05	0.109871474	0.072456871	0.00026836	0.001445656	0	0.098955658	0	0.028458349	0	0	0	0	0	0	0	0	0.000395773	0	0	0	0	0.000905504	0.001230639	0	1.73901e-05	0	0	0	0.167522198	0.114051008	0.104060007	0.009457036	0	0	0	0	0.007864532	0.015036892	0.014770529	0	0.000103199	0	0	0	0.000290444	0	0	0	0	0	0	0	0	0	0	0	0	0.000408914	0	0	0	0	0	0	0	0	0.000141084	0	0.000145338	0.032097004	0.000201126	0	0	0.000422744	0	0	0.001476669	0	0	3.19928e-05	0	2.04675e-05	4.73406e-05	0	0.00040833	0	0.068367771	0	0	0	0	0.089356808	0.082750175	6.64584e-05	0	0.000116003	0	0.004307692	0	0	0	0	0	0	0.09231216	0	0	0	7.68049e-05	0	0.002644138	0	0.002475387	0.002669158	0	0	0
Bacteroides 272	6.33032e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000308293	0	0	0	4.34292e-05	0	0	0	0	0.000102652	0	0	0	0	0.015457878	0	0	0	0	0	0	0	0	0	0.000134626	0	0	0	0	0	0	0	0	0.047111972	0.030040662	0	0	0	4.95172e-05	0	0	0	0	0	0	0	0	0	0.00016889	0.000322893	0	0.000448545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.96888e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.059642749	0.104652891	0	0	0	0	0	0	0	0	0	0	0	0.000102312	0	0	0	0	0	0.0095417	0.01769834	0	0	0.009365971	0	0.003111	0	0	0	0	0	0	0	0.037123521	0	0	0	0	0	0	0	0.001512938	0	0.000884742	0.000982669	0	0	0	0	0	0	7.74234e-05	0	7.08516e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001005025	0	0	0	0.001959632	0	0	0	0.000235139	0	3.63346e-05	0	0.000201126	0	0.001763047	0	0	0	0	0	0	0	4.85602e-05	2.04675e-05	4.73406e-05	0	0	9.49172e-05	0	0.000527983	0.000747822	0	0	0	0	6.64584e-05	0	0	0	0	0	0	0	0.010358523	0	0	0	0	0	0	0	0	0	0	0	0	0.001605824	0	0
Sutterella 5974	0	9.95884e-05	0	0	0	0	0	0	0.003296631	0	0.030634431	0.029079303	0.035273936	0	0	0	0	0	0	0	0.034211099	0	0.000837202	0.000479042	0	0	0	0	0	2.9047e-05	0	0	0.000184615	0	0	0	0	0	0	0	0	3.09972e-05	0	0	0	0	0	0	0	0.049296555	0.072718045	0	0	0	0.001713633	0.004103573	0.002961972	0.00036523	0	0	0	0	0	0	0	0	0	0	0	0	0	7.70891e-05	0	0	0	0.031558908	0.037476446	0.013757389	0	0	0.003509834	0.000250878	0	0	0	8.38785e-05	0.006161797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000267989	0	0	0	0.00077726	0.002496879	0	0	0	0	0	0.038892322	0	0.00014476	0	0	0	0	0	0	0	0	0.098235413	0.045446249	0.039454806	0	0	0	0.002405653	0.003865546	0	0	0	0	0	0.032131382	0.020226056	0	0	0	0	0	0.007067471	0	0.007337002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000178667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000175608	0	0	0	0	0	0	0	0.009798995	0.021931161	0.074147883	0	0	0.008333721	0	0	0.019422498	0	0.006213211	0.008796957	0	0	0	0	0	0	0	0	0	0	0	0	2.36703e-05	0	0	0	0.001802801	0.003989206	0.003609052	0	0	0.023710519	0.006298111	0.002890942	0	0	0	0.05182906	0	0	0	0	0	0	0	0	0	0	0.091321045	0.079768414	0	0	0	0	0.026870785	0	0
Bacteroides 580	0.000348167	0.017162395	0	0	0	0	0	0	0.000197798	0.003180915	0	0	0	0.013904338	0.001027644	0.000454959	0	0.004871493	0.003257188	0	0.000696409	0	0	0	0.001026407	0	0.000914256	0	0	2.9047e-05	0	0	0	0	0.000895141	0.001754386	0	0	0.000538503	0.000662691	0.00575374	0.000743932	0	0	0	0.000148555	0.00021254	0	0	0	7.25005e-05	0	0	0	0.000380807	0	0	0	0	0.000168549	0	0	0.000225187	0.000161447	0	0	0	0	0	0	0	0	0	0	0	0.000512558	0.00073278	0	0	0.001177163	0	0	0	0.001027598	0	0	0.003080898	0	0	0	0	0	0	0	0.000524734	0.000119067	0	0	0	0	0.000343171	0	0	0	0	0	0	0	0	0	0	0.002574003	0	0	0.000154488	0	0.003618992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012930386	0	0.012563566	0	0	0	0	0	0	0	0	0	0	6.34981e-05	0	0	0	0	0	0	0	0	0.000119232	7.91546e-05	0	0	0	0	0.000194037	0.000127307	0	3.47802e-05	0	0	0.000178667	0	0	2.97654e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000306185	0	0	0	0	8.7804e-05	0	0	0	0	0	0.060526316	0.001022286	0	0.0001523	0.000206157	0.000179244	0	0	0.000139772	0.000174622	0.000141084	0	0	5.94389e-05	0	0	8.81523e-05	0	0	0	0.000118133	0	0	0	0	0	0	0	0.014904042	0	0	0.000293324	0.000130056	0	0	0	0	3.32292e-05	0.007655622	0	0	0	0	0	0	5.36711e-05	0	0	0	0	0	0	0	0	0	0	5.62588e-05	0	0	0	0
Escherichia 247	0	0.060649316	0.000471428	0	0.000290867	0.077486009	0.00026738	0.000111694	0	0	0	4.43282e-05	0.000107216	0.059510567	0.000205529	0	0.000256698	0	0	0	0	0.02335669	7.61093e-05	0.000136869	0	0.051303775	0	0.020102747	0	0.000116188	0	0	0	0	0	0	0.045570115	0.000286345	0	0	0	3.09972e-05	0.000441182	0.123705353	0	7.42776e-05	0.00031881	0.000161342	0.000140213	0	0	0	4.95172e-05	0	0.088728104	7.19925e-05	4.77737e-05	0.00182615	0	0	0	0	0	0.000161447	0.000752521	0.000192234	0.000323206	0	0	0.000212483	0	0.000154178	0	0.092202273	0.000962729	0	0.000104683	0	0	0.000196194	0	0	0	0	0	0	0	0.048758865	0	4.02431e-05	0.000156838	0	0.079855649	0.000154791	4.77031e-05	7.93777e-05	0.00103146	0	0.002564103	9.77278e-05	0	0	0	0.005359775	0	0.000403959	0.000109733	0.000222074	0	5.61514e-05	0.000231562	0.021879022	0.000670092	0.096362998	0	0	0.002171395	0.000478813	0.000345483	0.031316348	0	0	0	0	0	0	0	0	0	0.000968992	0.000295858	0	0	0.002542626	0	0.000121669	0	0	0	0	2.98178e-05	0	0	0	0	0	0	0	0.000194458	0.000147117	0	0.017961808	0	0	3.95773e-05	0.000113026	0.037493082	0	0	6.46789e-05	4.24358e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.33968e-05	0	0.000192456	0.000103199	0.000642123	0	5.72902e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.005263158	0	0	0	0	0.012009321	0	0	0	0	0	0	0	0	0	0	0	0	0.074994689	0	0	0	0	0	0	0	0	0	0.011024908	4.74586e-05	0	0	0	0.048372911	0	0	0.000174948	0	0.017695783	0	0	0	0	0	0	0	0	0	4.14886e-05	0	0	0	0	0	0	0	0	0	0	0	0
Sutterella 1436	0	0	0	9.21829e-05	0	0	0	0	0	0	0	0	0	0	0	0.019790719	0	0.040987737	0.051941284	0	0	0	0	0	0.015582719	0.000376541	0	0	0	0	0	0	0	0	0	0	0	0	0.004846527	0	0	0	0.003369029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046829125	0	0	0	0	0	0	0	0	0	0	0.013166054	0.005635815	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000112303	0	0	0	0	0	0.015511703	0	0	0	0	0	0	0	0	0	0	0.000547545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019076265	0	0	0	0	0.016105038	0.017568428	0	0	0	0.011260356	0.007950688	0	0	0	0.000163052	0.024002313	0	0	0	0	0	0	0	0.000103199	0	0	5.72902e-05	0	0.008879363	0	0	0	0	0	0.073223259	0.088294147	0	0	0	0	0	0	0.003350594	0.000962067	0	0	2.32786e-05	0	0	0.000705418	0	3.63346e-05	0.014146457	0	4.44306e-05	0	0	0	0	5.90667e-05	0	0	0	0	0	0	0	0	4.74586e-05	0	0.021295319	0.025881129	0	0	0	0	0	0	0	0.012521343	0	0	0	0	5.36711e-05	0	0	0	0	0	0	0	0	6.44912e-05	0	0	0	0.004817471	0	0.009580476
Pseudomonas 190	0	0	0	0	0	0	0	0	0	0	0.000584131	0	0	0.004449388	0	0	3.20873e-05	0	0	0	0	0	0	0	0	0.000376541	0	0	0	0	0	0	0	0	0	0	0	0	0.001077006	0	0.000287687	0	0	0.000871164	0	0	0	0	0	0	0	0	0	0.000860733	0.000380807	0	0	0	0	0	0	0	0	0	0	0	0.002370179	0.00538358	0	0	0	0	0.000308976	0	0	0	0	0	0	0	0	0	0.002017291	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016503352	0.005795235	0.000618921	0	0	0	0	0	0	0	0	0	0	0	0	0.001287001	0	0.000116945	0	0	0.000289519	0	0	0.001326964	0.00092393	0	0	0	0	0	0	0	0	0	0.001183432	0	0	0	0	0	0	6.19617e-05	0	0	0	0.000262847	0.000630517	0	0	0	0	0	0	0	0	0.000378143	0.00052169	0.004530822	0	0.001921447	0.041505257	0	0	0.009184399	0.000212179	0	0	0.000115848	0.000884742	0.001876005	0.007422309	0.003629764	0	0	0	0.000233645	0.000541963	0	0	0.012234986	0.00949534	0	0	0.01369863	0	0	0	0	0	0.001873536	0	0	0	0	0	0	0	0	0	0	0	0.008681084	0	0.000179244	0	0	0	0	0	0	0	0	0	0	0	0	0.00021245	0	0	0	0	0	0	0	0	0	0.000612495	0	0	0	0	0.000125644	0	0	0	0	0.000251004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tepidibacter 32	3.16516e-05	0	3.36734e-05	0.019081858	0	0	0	0	0.00026373	0	0.000129807	0	0	0.001112347	0	0	0	0.003359651	0.008598975	0	0.047529924	0	0	0	0	0	0.000914256	0	0.026267055	0	0.361778388	0.296142536	0	0	0.000575448	0.000804094	0	0	0.02369413	0	0.074031454	3.09972e-05	0	0	0	0	0	0	0	0	0	3.48371e-05	4.95172e-05	0	0.000380807	0	0	0	0	6.74195e-05	0	0	0.036705511	0.032370036	0	0	0	0.001345895	0	5.31208e-05	0	0	0	0.007372712	0	0	0	0.006957159	0.083303282	0	0	0	0	0	0	0	0.004372888	0.002659574	0.000186986	0	0	0	0	5.15969e-05	0	0	0	0.041854475	0	4.88639e-05	9.35921e-05	0	0.000259	0	0	0	0	0.023872974	0.00062422	0	0	0	0	0	0	0	0	0	0	0.000928875	0	0	0	0	0.001034	0	0	0	0	0	0	0.043301759	0.027226891	0.000299133	0	0	0	0	0.000446269	0.000475907	2.98178e-05	0	0	0.139530902	0	0.209479834	0	0	0.011084103	0.006178894	0	0.000189072	8.026e-05	0.000238464	0	0	0	0	0	0	0	0	0	0	0	0	0.041065483	0.024930748	0	0.008641774	0	0	0	0	0	0.062575885	0.057147881	0	0	0	0	0	0	0	0	0	0	0.004534462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018544936	0	0	0	0	0	0	0	0	9.54654e-05	3.19928e-05	0	0	0	0	0.00081666	4.74586e-05	0.006933851	0	0	0	0	0.014244006	0	0	0	0	0	0	0	0	0	0	0	0.00041115	0	0	0	0.000114982	0	0	0.002386173	0	0.000112518	0.000266916	0	0	0
Bacteroides 342	0.000189909	0.006174479	0	0	0	0	0	0	3.29663e-05	0.000596421	0	0	0	0.004449388	0.000308293	0.00011374	0	0.000587939	0.00052115	0	0.000217628	0	0	0	0.000279929	9.41354e-05	0.000457128	0	0	2.9047e-05	0	0	0	0	0.000383632	0	0	0	0.000134626	0.000331345	0.002301496	0.000247977	0	0	0	0.000148555	0.00021254	0	0	0	0	0	0	0	0.000571211	0	0	0	0	6.74195e-05	0	0	5.62968e-05	0.00024217	0	0	0	0	0	0	0	0	0	0	0	0.000366113	0.000383837	0	0	0.000392388	0	0	0	0.0002202	0	0	0.000198768	0	0	0	0	0	0	0	0.000286219	3.96888e-05	0	0	0	0	0.000124789	0	0	0	0	0	0	0	0	0	5.78905e-05	0.001287001	0	0	3.8622e-05	9.17852e-05	0.001737116	0	0	0	0	0	0	0	0.000182471	0	0	0	0	0	0	0.004209893	0	0.005833084	0	0	0	0	0	0	0	0	0	0	0.000158745	0	6.222e-05	0	0	0	0.000126847	0	0	0	3.95773e-05	0	0	0	0	6.46789e-05	0.000297051	0	0	0	8.04311e-05	0.000357334	0	0	2.97654e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035526316	0.000204457	0	0.000304599	0	0	0	0	0	0.000291036	9.40557e-05	3.4721e-05	0	0	0	0	8.81523e-05	7.04573e-05	0.000424899	0	5.90667e-05	0	0	0	0	0	0	0	0.009391588	0	0	5.86648e-05	3.2514e-05	0	0	0	0	3.32292e-05	0.004894578	0	0.000284576	0	0	0	0	5.36711e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium 609	0	0	0	0	0	0	0	0	0	0	0	8.86564e-05	5.36078e-05	0	0	0	0	0	0	0	0.000217628	0	0.000152219	0	0	0	0.000130608	0	0	0.000464752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000187512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001081415	0	0	0	0	0	0	0	6.05144e-05	0	0	7.33999e-05	0.000869187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000100918	0	0	0	0	0	0	0	0	0	0	0	0	0.000204625	0	0	0	0	0	0.001848704	0.000832348	0	0	0	0	0	0.002001001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001739009	0	0	0	0	0	0	0	0	0	0.067048622	0.075082183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000130642	2.32786e-05	0	0	0.000141084	0	0	0	0	0	4.40762e-05	0	0	0	0	0	0	0	9.71204e-05	6.14024e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000569152	0.000410256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002081575	0	0	0	0
Prevotella 3003	0	0.000531138	0	0	0	0	0	0	0	0	0	0	0	0	0	0.090366242	0	0	0	0	0	0	0	0	0.024820379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00647841	0	0	0	0	0	0	3.50533e-05	0.000609283	0.001015008	3.48371e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	6.40779e-05	0	0	0	0	0	0	0	0	0	0.079153548	0.101995952	0	0	0	0	0	0	0	0	8.38785e-05	0	0	0	0	0	0	9.25326e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002974782	0.043621099	0.087816834	0	0	0	0	0	0	0.000102312	0	0	0	0	0	0.022035364	0.051211285	0	0	0	0	0	0	0	0	0	0	0.05586099	0.087874091	3.95773e-05	0	0	0.197477064	0	0	0	0	0.039388564	0	0	0	0.000832408	0.000477601	0	0	0.000578369	0	0	0	7.08516e-05	0.000186794	0	0	0	0.002140411	0	0	0.000290444	0	0	0	0	0	0	0	0	0	0	0.000160539	0	0	0	0	0.001374382	0	0	0	0	0	0	0	0	0.115608654	0	0.000177722	0	0	0	0	0.013880685	0	0	0	0	2.04675e-05	2.36703e-05	0	0	4.74586e-05	0	5.86648e-05	0.00016257	0	0	0	0.001049685	0	0	0	0.015367103	0.177162393	0	0	0	0	0	0	0	0	0	0	0.001075269	0.001125764	0	0	0	0	0.007493844	0	0.218434853
Epulopiscium 28	0	0	0	0.003318584	0	0	0	0	0	0	0	0	0	0.006117909	0.000411057	0	0	0	0	0	0	0	0	3.42173e-05	0	0	0	0	3.77943e-05	0	0	0	0	0.000861273	0	0	0.009387835	0.000777223	0	0	0	3.09972e-05	0	0	0	0	0	0	0	5.53894e-05	0	0	0	0	0	0.00182381	0.001815402	0	0	0	0	0.000109266	0.002477059	0.000968679	0	0	0	0	0	0	0	2.56964e-05	0	0	0.000137533	0	0	0	0	0	0	0	0	0	0	0.001677571	0.000198768	0	0	0	7.84191e-05	0	0.004904229	0.001289923	0	0	0.00103146	0.009444087	0	0	0	0.007252417	0.008806009	0	0	0	5.48667e-05	0.01487897	0.022971286	0	0	0	0.000223364	0	0	0	0	0	0	0	0	0	0	0	0	6.76087e-05	0	0	0	0	0	0	0.000168067	0	0	0	0	0	0	0	0	0	0	0.00385208	0	0	0	0	0	0	0	0	0.001605201	0.000596161	0	0	0	0	0	0	0	0.000395179	0	0	0	0	0.000346837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001862445	0.000234192	0	0.007255139	0	0	0	0	0	0	0	0	0	0.0001523	0	0	0.000522568	0	0	0	0.00065839	0	3.63346e-05	0	0	0.004487493	0	0	0	0	0	0.012035011	0	0	4.85602e-05	0	2.36703e-05	0	0	0	0	0	3.2514e-05	0.000125644	0	0.000176944	0.000349895	0	0	0	0	0	0	0	0	5.36711e-05	0.000198728	4.1115e-05	0.015267809	0	0	0	0	0	0	0	0	0.000133458	0	0	0
Escherichia 5354	0.015319364	0.010622759	0.407078156	9.21829e-05	0.539267016	0.086418424	0.378609626	0.095833799	0	0.01471173	0	0.11489871	0.134448376	0.005005562	0.171924776	0	0.384630194	0	4.34292e-05	0.002967909	4.35256e-05	0.098431765	0.104117513	0.084003422	0	0.04876212	0	0.00290373	3.77943e-05	0.064309989	0.004423092	0.010378827	0	0.056905568	0.004987212	0.006067251	0.164287111	0.556900924	0.003096392	0.003230616	0	0.047332693	0.42951109	0.011712322	0	0.516155389	0.525345377	0.076798967	0.064147504	0	0.000507504	0.000174186	0.032384254	0	0.012566641	0.058901874	0.058785591	0.00036523	0	0.000101129	0.025561624	0.06020542	0.172831166	0.17912496	0.697586916	0.245162117	0.631868132	0	0	0.346082337	0.000163934	0.111573646	0	0.157082141	0.72947325	0.12652852	0.149068323	0.001098499	0.036062027	0.263488326	0.011255673	0.042147516	0	0.002642396	0.012023758	0.020634122	0.020572451	0.007535461	0.263462977	0.080365407	0.32685069	0.208492923	0.058758212	0.338217842	0.117301913	0.043538657	0	0	0.000442087	0.111409724	3.11974e-05	0.000250083	0	0.003215865	0	0.612199556	0.655108087	0.26904286	0.098501873	0.712224156	0.604608082	0.001287001	0	0.067243597	3.8622e-05	0.042863699	0.003474233	0.000478813	0.000172741	0.02242569	0.000307977	0.00555051	0.005797532	0.012482095	0.017030594	0.100534109	0.06388027	0.00011956	0	0	0	0.000150353	0	0.000299133	0.00409249	0.198442633	0	0.013259805	8.92538e-05	0.000118977	0.067000626	0.099005564	0.391235813	0.00770416	0.0016827	0.047022239	0.193690891	0	0.634905202	0.65667909	0.055622503	0.017772736	0.007985874	0.004530822	0.015791348	0.185250071	0.045655783	0	0.115081769	0.23911778	0.149628687	0	1.73901e-05	0.080050973	0.019786053	0.011345364	0.048903996	0.064667112	0.211632337	0	0.099768652	0.024299065	0	0	0	0	0	0.446497306	0.045614035	0	0.034313016	0.25230593	0.372059251	0.007654623	0.011041639	0	0.376463145	0.000453446	0.00131706	0.173418111	0.119372186	0.44230224	0	0.045272114	0	0.000613371	0.028894472	0.035942735	0.049958769	0.028320488	0.014174668	0.054983938	0.007268153	0.0112922	4.70278e-05	0.357800076	7.26691e-05	0.022765097	0.096138375	0.17012485	0.013487306	0.240047911	0.009560229	0.219928644	0.000118133	0.020514223	0.015083532	0.01558051	0.064585053	0.046931925	0.008923711	0.192884764	0.00081666	0.393906317	0.085147691	5.86648e-05	3.2514e-05	0.055660259	0.103253603	0.003361939	0	0.027646707	0.033007028	0.022330491	0	0.001846154	0.138199631	0.203657934	0.590864917	0.001905324	0.003974563	0	0.11981911	0.001590331	0	0.011958146	0.015207373	0.007880347	0.162969173	0.190738193	0.000562588	0.011877753	0.00021411	0	0.000201694
Escherichia 4834	0.001772488	0.038540698	0.03636731	9.21829e-05	0.045956952	0.051764959	0.04197861	0.00938233	0	0.000994036	3.24517e-05	0.010106831	0.010078267	0.03948832	0.011098551	0	0.041392588	0	8.68583e-05	0	0	0.018685352	0.007078164	0.008041061	9.33097e-05	0.046691142	0	0.012061648	3.77943e-05	0.005635112	0.000457561	0.000518941	0	0.004983082	0.000639386	0.000292398	0.049090553	0.049128692	0.000134626	0.000414182	0	0.004432597	0.034692977	0.063691801	0	0.051400134	0.045536663	0.005808325	0.006379697	0	0.000145001	0	0.003119584	0	0.040555979	0.006167359	0.005493981	0.00109569	0	0	0.002139519	0.004807692	0.015087542	0.012350662	0.059549491	0.020889402	0.05106658	0	0	0.02873838	0	0.011563367	0	0.072686269	0.062027231	0.010397598	0.012492149	0.000156928	0.003245582	0.020992741	0.000847201	0.003261415	0	0.0001468	0.001303781	0.001761449	0.001888293	0.019946809	0.027860883	0.008008371	0.02619197	0.015487094	0.051540668	0.030854961	0.009826838	0.004326084	0	0	0.001414677	0.009186416	0	0	0	0.002679887	0	0.076247223	0.084000878	0.034643571	0.015480649	0.074344433	0.081915017	0.001287001	0	0.061045492	0	0.004772832	0.002026636	0.000239406	0	0.028927813	0	0.000706428	0.000297309	0.001841621	0.00188553	0.011425867	0.00885198	2.989e-05	0	0	0.000295858	0	0	0.00119653	0.000716186	0.023360506	0	0.001487081	0	0	0.009660971	0.013887064	0.046027743	0.000856018	0.000222243	0.005653977	0.022025884	0	0.07963053	0.074588074	0.007991374	0.009453583	0.0008026	0.000119232	0.002730835	0.024018084	0.023796348	0	0.011508177	0.028329345	0.01896881	0	0	0.012974977	0.002252071	0.001518671	0.00686737	0.007832649	0.027652101	0	0.010121457	0.003037383	0	0	0	0	0	0.049461124	0.00629515	0.000214041	0.00434342	0.03276998	0.049375545	0.000918555	0.000997738	0	0.040493515	0.000151149	0	0.021126038	0.014944972	0.06691239	0	0.006100498	0.003289474	0.000408914	0.003015075	0.006548888	0.008040132	0.012367808	0.002874126	0.012314354	0.000978405	0.001979045	0	0.047151141	0.000181673	0.002436995	0.017900241	0.020260363	0.001851199	0.029732967	0.033142129	0.027013252	0	0.004376368	0.001909308	0.002783377	0.009857719	0.006795202	0.001822615	0.025676721	0.005920784	0.070428551	0.009846069	5.86648e-05	6.5028e-05	0.028018595	0.015748031	0.000265416	0.000174948	0.004120423	0.012048193	0.003596079	0.000284576	6.83761e-05	0.020503761	0.022244192	0.076125688	0.000348862	0	4.1115e-05	0.015309298	0.000318066	0.001675042	0.003564448	0.003686636	0.002653586	0.050819038	0.055784808	0.000168776	0.002802616	0.000107055	0	0.000201694
