#FASTA	SRS056210.fasta	SRS011132.fasta	SRS019597.fasta	SRS015996.fasta	SRS016033.fasta
#Niche	X	X	X	Y	Y
#Genes	SRS056210	SRS011132	SRS019597	SRS015996	SRS016033
SRS056210.70|UniRef90_unknown	0.0583756345178	0.0	0.0	0.0	0.0
SRS056210.21|UniRef90_unknown	0.0557939914163	0.0	0.0	0.0	0.0
SRS056210.93|UniRef90_unknown	0.0965909090909	0.0	0.0	0.0	0.0
SRS056210.36|UniRef90_unknown	0.0778210116732	0.0	0.0	0.0	0.0
SRS056210.24|UniRef90_unknown	0.0622406639004	0.0	0.0	0.0	0.0
SRS056210.61|UniRef90_unknown	0.0695187165775	0.0	0.0	0.0	0.0
SRS056210.40|UniRef90_unknown	0.0606060606061	0.0	0.0	0.0	0.0
SRS056210.7|UniRef90_unknown	0.0646766169154	0.0	0.0	0.0	0.0
SRS056210.29|UniRef90_unknown	0.0731707317073	0.0	0.0	0.0	0.0
SRS056210.80|UniRef90_unknown	0.0869565217391	0.0	0.0	0.0	0.0
SRS056210.54|UniRef90_unknown	0.0804597701149	0.0	0.0	0.0	0.0
SRS056210.68|UniRef90_unknown	0.0731070496084	0.0	0.0	0.0	0.0
SRS056210.94|UniRef90_unknown	0.0678925035361	0.0	0.0	0.0	0.0
SRS056210.85|UniRef90_unknown	0.0729613733906	0.0	0.0	0.0	0.0
SRS056210.25|UniRef90_unknown	0.0746887966805	0.0	0.0	0.0	0.0
SRS056210.19|UniRef90_unknown	0.0714285714286	0.0	0.0	0.0	0.0
SRS056210.75|UniRef90_unknown	0.0776699029126	0.0	0.0	0.0	0.0
SRS056210.23|UniRef90_unknown	0.0677966101695	0.0	0.0	0.0	0.0
SRS056210.71|UniRef90_unknown	0.0583756345178	0.0	0.0	0.0	0.0
SRS056210.14|UniRef90_unknown	0.0568720379147	0.0	0.0	0.0	0.0
SRS056210.6|UniRef90_unknown	0.075	0.0	0.0	0.0	0.0
SRS056210.89|UniRef90_unknown	0.0621359223301	0.0	0.0	0.0	0.0
SRS056210.86|UniRef90_unknown	0.0729613733906	0.0	0.0	0.0	0.0
SRS011132.171|UniRef90_unknown	0.0	0.0666666666667	0.0	0.0	0.0
SRS011132.185|UniRef90_unknown	0.0	0.0681818181818	0.0	0.0	0.0
SRS011132.147|UniRef90_unknown	0.0	0.0493827160494	0.0	0.0	0.0
SRS011132.251|UniRef90_unknown	0.0	0.06875	0.0	0.0	0.0
SRS011132.137|UniRef90_unknown	0.0	0.105042016807	0.0	0.0	0.0
SRS011132.84|UniRef90_unknown	0.0	0.045871559633	0.0	0.0	0.0
SRS011132.233|UniRef90_unknown	0.0	0.0566666666667	0.0	0.0	0.0
SRS011132.5|UniRef90_unknown	0.0	0.0757097791798	0.0	0.0	0.0
SRS011132.30|UniRef90_unknown	0.0	0.0735294117647	0.0	0.0	0.0
SRS011132.191|UniRef90_unknown	0.0	0.0786516853933	0.0	0.0	0.0
SRS011132.136|UniRef90_unknown	0.0	0.105042016807	0.0	0.0	0.0
SRS011132.41|UniRef90_unknown	0.0	0.0676328502415	0.0	0.0	0.0
SRS011132.289|UniRef90_unknown	0.0	0.0829268292683	0.0	0.0	0.0
SRS011132.21|UniRef90_unknown	0.0	0.0643564356436	0.0	0.0	0.0
SRS011132.224|UniRef90_unknown	0.0	0.0816326530612	0.0	0.0	0.0
SRS011132.217|UniRef90_unknown	0.0	0.0696864111498	0.0	0.0	0.0
SRS011132.169|UniRef90_unknown	0.0	0.0592885375494	0.0	0.0	0.0
SRS011132.35|UniRef90_unknown	0.0	0.0634146341463	0.0	0.0	0.0
SRS011132.194|UniRef90_unknown	0.0	0.0936329588015	0.0	0.0	0.0
SRS011132.140|UniRef90_unknown	0.0	0.0669456066946	0.0	0.0	0.0
SRS011132.273|UniRef90_unknown	0.0	0.0730337078652	0.0	0.0	0.0
SRS011132.256|UniRef90_unknown	0.0	0.0707692307692	0.0	0.0	0.0
SRS011132.248|UniRef90_unknown	0.0	0.0752351097179	0.0	0.0	0.0
SRS011132.204|UniRef90_unknown	0.0	0.054347826087	0.0	0.0	0.0
SRS011132.117|UniRef90_unknown	0.0	0.0478260869565	0.0	0.0	0.0
SRS011132.186|UniRef90_unknown	0.0	0.0833333333333	0.0	0.0	0.0
SRS011132.208|UniRef90_unknown	0.0	0.0539568345324	0.0	0.0	0.0
SRS011132.70|UniRef90_unknown	0.0	0.0651162790698	0.0	0.0	0.0
SRS011132.20|UniRef90_unknown	0.0	0.0594059405941	0.0	0.0	0.0
SRS011132.129|UniRef90_unknown	0.0	0.0811965811966	0.0	0.0	0.0
SRS011132.91|UniRef90_unknown	0.0	0.0863636363636	0.0	0.0	0.0
SRS011132.107|UniRef90_unknown	0.0	0.0837004405286	0.0	0.0	0.0
SRS011132.242|UniRef90_unknown	0.0	0.16339869281	0.0	0.0	0.0
SRS011132.120|UniRef90_unknown	0.0	0.0606060606061	0.0	0.0	0.0
SRS011132.260|UniRef90_unknown	0.0	0.111111111111	0.0	0.0	0.0
SRS011132.38|UniRef90_unknown	0.0	0.0631067961165	0.0	0.0	0.0
SRS011132.314|UniRef90_unknown	0.0	0.0773420479303	0.0	0.0	0.0
SRS011132.160|UniRef90_unknown	0.0	0.048	0.0	0.0	0.0
SRS011132.285|UniRef90_unknown	0.0	0.110837438424	0.0	0.0	0.0
SRS011132.22|UniRef90_unknown	0.0	0.0841584158416	0.0	0.0	0.0
SRS011132.102|UniRef90_unknown	0.0	0.0711111111111	0.0	0.0	0.0
SRS011132.150|UniRef90_unknown	0.0	0.0860655737705	0.0	0.0	0.0
SRS011132.295|UniRef90_unknown	0.0	0.0527426160338	0.0	0.0	0.0
SRS011132.303|UniRef90_unknown	0.0	0.0808270676692	0.0	0.0	0.0
SRS011132.1|UniRef90_unknown	0.0	0.0467032967033	0.0	0.0	0.0
SRS011132.69|UniRef90_unknown	0.0	0.0883720930233	0.0	0.0	0.0
SRS011132.79|UniRef90_unknown	0.0	0.0963302752294	0.0	0.0	0.0
SRS011132.220|UniRef90_unknown	0.0	0.0616438356164	0.0	0.0	0.0
SRS011132.252|UniRef90_unknown	0.0	0.0903426791277	0.0	0.0	0.0
SRS011132.236|UniRef90_unknown	0.0	0.0761589403974	0.0	0.0	0.0
SRS011132.152|UniRef90_unknown	0.0	0.069387755102	0.0	0.0	0.0
SRS011132.34|UniRef90_unknown	0.0	0.0926829268293	0.0	0.0	0.0
SRS011132.58|UniRef90_unknown	0.0	0.0610328638498	0.0	0.0	0.0
SRS011132.145|UniRef90_unknown	0.0	0.0905349794239	0.0	0.0	0.0
SRS011132.223|UniRef90_unknown	0.0	0.0580204778157	0.0	0.0	0.0
SRS011132.32|UniRef90_unknown	0.0	0.0735294117647	0.0	0.0	0.0
SRS011132.283|UniRef90_unknown	0.0	0.0556962025316	0.0	0.0	0.0
SRS011132.109|UniRef90_unknown	0.0	0.0921052631579	0.0	0.0	0.0
SRS011132.122|UniRef90_unknown	0.0	0.0646551724138	0.0	0.0	0.0
SRS011132.311|UniRef90_unknown	0.0	0.0612813370474	0.0	0.0	0.0
SRS011132.151|UniRef90_unknown	0.0	0.0860655737705	0.0	0.0	0.0
SRS011132.57|UniRef90_unknown	0.0	0.0845070422535	0.0	0.0	0.0
SRS011132.67|UniRef90_unknown	0.0	0.0697674418605	0.0	0.0	0.0
SRS011132.59|UniRef90_unknown	0.0	0.0704225352113	0.0	0.0	0.0
SRS011132.50|UniRef90_unknown	0.0	0.0765550239234	0.0	0.0	0.0
SRS011132.26|UniRef90_unknown	0.0	0.0788177339901	0.0	0.0	0.0
SRS011132.82|UniRef90_unknown	0.0	0.0871559633028	0.0	0.0	0.0
SRS011132.257|UniRef90_unknown	0.0	0.0699088145897	0.0	0.0	0.0
SRS011132.178|UniRef90_unknown	0.0	0.0769230769231	0.0	0.0	0.0
SRS011132.115|UniRef90_unknown	0.0	0.0742358078603	0.0	0.0	0.0
SRS011132.110|UniRef90_unknown	0.0	0.0614035087719	0.0	0.0	0.0
SRS011132.287|UniRef90_unknown	0.0	0.0658536585366	0.0	0.0	0.0
SRS011132.2|UniRef90_unknown	0.0	0.0694087403599	0.0	0.0	0.0
SRS011132.307|UniRef90_unknown	0.0	0.0762564991334	0.0	0.0	0.0
SRS011132.143|UniRef90_unknown	0.0	0.0826446280992	0.0	0.0	0.0
SRS011132.244|UniRef90_unknown	0.0	0.0673076923077	0.0	0.0	0.0
SRS011132.23|UniRef90_unknown	0.0	0.0841584158416	0.0	0.0	0.0
SRS011132.166|UniRef90_unknown	0.0	0.0714285714286	0.0	0.0	0.0
SRS011132.277|UniRef90_unknown	0.0	0.116666666667	0.0	0.0	0.0
SRS011132.55|UniRef90_unknown	0.0	0.146226415094	0.0	0.0	0.0
SRS011132.25|UniRef90_unknown	0.0	0.0841584158416	0.0	0.0	0.0
SRS011132.279|UniRef90_unknown	0.0	0.0748663101604	0.0	0.0	0.0
SRS011132.281|UniRef90_unknown	0.0	0.0529100529101	0.0	0.0	0.0
SRS011132.65|UniRef90_unknown	0.0	0.0654205607477	0.0	0.0	0.0
SRS011132.268|UniRef90_unknown	0.0	0.0659025787966	0.0	0.0	0.0
SRS011132.196|UniRef90_unknown	0.0	0.0664206642066	0.0	0.0	0.0
SRS011132.162|UniRef90_unknown	0.0	0.0677290836653	0.0	0.0	0.0
SRS011132.90|UniRef90_unknown	0.0	0.0821917808219	0.0	0.0	0.0
SRS011132.184|UniRef90_unknown	0.0	0.0839694656489	0.0	0.0	0.0
SRS011132.255|UniRef90_unknown	0.0	0.0586419753086	0.0	0.0	0.0
SRS011132.128|UniRef90_unknown	0.0	0.0641025641026	0.0	0.0	0.0
SRS011132.302|UniRef90_unknown	0.0	0.0625	0.0	0.0	0.0
SRS011132.125|UniRef90_unknown	0.0	0.0775862068966	0.0	0.0	0.0
SRS011132.262|UniRef90_unknown	0.0	0.0674486803519	0.0	0.0	0.0
SRS011132.167|UniRef90_unknown	0.0	0.0992063492063	0.0	0.0	0.0
SRS011132.266|UniRef90_unknown	0.0	0.0749279538905	0.0	0.0	0.0
SRS011132.267|UniRef90_unknown	0.0	0.0574712643678	0.0	0.0	0.0
SRS011132.116|UniRef90_unknown	0.0	0.0695652173913	0.0	0.0	0.0
SRS011132.173|UniRef90_unknown	0.0	0.105058365759	0.0	0.0	0.0
SRS011132.118|UniRef90_unknown	0.0	0.047619047619	0.0	0.0	0.0
SRS011132.211|UniRef90_unknown	0.0	0.0782918149466	0.0	0.0	0.0
SRS011132.201|UniRef90_unknown	0.0	0.0772058823529	0.0	0.0	0.0
SRS011132.44|UniRef90_unknown	0.0	0.0913461538462	0.0	0.0	0.0
SRS011132.89|UniRef90_unknown	0.0	0.0639269406393	0.0	0.0	0.0
SRS011132.243|UniRef90_unknown	0.0	0.0684039087948	0.0	0.0	0.0
SRS011132.286|UniRef90_unknown	0.0	0.0710784313725	0.0	0.0	0.0
SRS011132.241|UniRef90_unknown	0.0	0.0688524590164	0.0	0.0	0.0
SRS011132.43|UniRef90_unknown	0.0	0.0865384615385	0.0	0.0	0.0
SRS011132.197|UniRef90_unknown	0.0	0.0774907749077	0.0	0.0	0.0
SRS011132.294|UniRef90_unknown	0.0	0.082788671024	0.0	0.0	0.0
SRS011132.98|UniRef90_unknown	0.0	0.0896860986547	0.0	0.0	0.0
SRS011132.148|UniRef90_unknown	0.0	0.0905349794239	0.0	0.0	0.0
SRS011132.264|UniRef90_unknown	0.0	0.0838150289017	0.0	0.0	0.0
SRS011132.95|UniRef90_unknown	0.0	0.0900900900901	0.0	0.0	0.0
SRS011132.12|UniRef90_unknown	0.0	0.07	0.0	0.0	0.0
SRS011132.298|UniRef90_unknown	0.0	0.0712871287129	0.0	0.0	0.0
SRS011132.139|UniRef90_unknown	0.0	0.0753138075314	0.0	0.0	0.0
SRS011132.81|UniRef90_unknown	0.0	0.0825688073394	0.0	0.0	0.0
SRS011132.46|UniRef90_unknown	0.0	0.0817307692308	0.0	0.0	0.0
SRS011132.10|UniRef90_unknown	0.0	0.0974658869396	0.0	0.0	0.0
