First Dataset	Second Dataset	p-value	q-value
X0	Y0	0.0010087580411	0.0172161372347
X1	Y0	1.17432074475e-05	0.000429465872366
X4	Y4	0.000798189863747	0.0177882312492
X4	Y5	0.000798189863747	0.0177882312492
X5	Y4	0.000798189863747	0.0177882312492
X5	Y5	0.000798189863747	0.0177882312492
X5	Y9	0.000166298782459	0.00473027647883
X7	Y9	0.00119436214938	0.0191097943901
X9	Y9	0.0	0.0
X12	Y12	0.000327005858946	0.00837134998902
X13	Y12	6.1335883729e-10	2.45343534916e-08
X13	Y13	6.1335883729e-10	2.45343534916e-08
X13	Y15	6.1335883729e-10	2.45343534916e-08
X14	Y14	0.0	0.0
X14	Y15	0.000106359663878	0.00276535126082
X15	Y15	3.50342282468e-06	0.00010930679213
